tahun,nama_provinsi,nama_kabupaten_kota,nama_kecamatan,nama_kelurahan,usia,jenis_kelamin,jumlah_penduduk,
2018,DKI Jakarta,ADM. KEPULAUAN SERIBU,KEPULAUAN SERIBU UTARA,PULAU PANGGANG,0-4,Laki-Laki,332,
2018,DKI Jakarta,ADM. KEPULAUAN SERIBU,KEPULAUAN SERIBU UTARA,PULAU KELAPA,0-4,Laki-Laki,328,
2018,DKI Jakarta,ADM. KEPULAUAN SERIBU,KEPULAUAN SERIBU UTARA,PULAU HARAPAN,0-4,Laki-Laki,104,
2018,DKI Jakarta,ADM. KEPULAUAN SERIBU,KEPULAUAN SERIBU SELATAN,PULAU UNTUNG JAWA,0-4,Laki-Laki,117,
2018,DKI Jakarta,ADM. KEPULAUAN SERIBU,KEPULAUAN SERIBU SELATAN,PULAU TIDUNG,0-4,Laki-Laki,289,
2018,DKI Jakarta,ADM. KEPULAUAN SERIBU,KEPULAUAN SERIBU SELATAN,PULAU PARI,0-4,Laki-Laki,174,
2018,DKI Jakarta,JAKARTA PUSAT,GAMBIR,GAMBIR,0-4,Laki-Laki,69,
2018,DKI Jakarta,JAKARTA PUSAT,GAMBIR,CIDENG,0-4,Laki-Laki,593,
2018,DKI Jakarta,JAKARTA PUSAT,GAMBIR,PETOJO UTARA,0-4,Laki-Laki,730,
2018,DKI Jakarta,JAKARTA PUSAT,GAMBIR,PETOJO SELATAN,0-4,Laki-Laki,681,
2018,DKI Jakarta,JAKARTA PUSAT,GAMBIR,KEBON KELAPA,0-4,Laki-Laki,381,
2018,DKI Jakarta,JAKARTA PUSAT,GAMBIR,DURI PULO,0-4,Laki-Laki,940,
2018,DKI Jakarta,JAKARTA PUSAT,SAWAH BESAR,PASAR BARU,0-4,Laki-Laki,407,
2018,DKI Jakarta,JAKARTA PUSAT,SAWAH BESAR,KARANG ANYAR,0-4,Laki-Laki,1154,
2018,DKI Jakarta,JAKARTA PUSAT,SAWAH BESAR,KARTINI,0-4,Laki-Laki,884,
2018,DKI Jakarta,JAKARTA PUSAT,SAWAH BESAR,GUNUNG SAHARI UTARA,0-4,Laki-Laki,581,
2018,DKI Jakarta,JAKARTA PUSAT,SAWAH BESAR,MANGGA DUA SELATAN,0-4,Laki-Laki,1297,
2018,DKI Jakarta,JAKARTA PUSAT,KEMAYORAN,KEMAYORAN,0-4,Laki-Laki,911,
2018,DKI Jakarta,JAKARTA PUSAT,KEMAYORAN,KEBON KOSONG,0-4,Laki-Laki,145,
2018,DKI Jakarta,JAKARTA PUSAT,KEMAYORAN,HARAPAN MULIA,0-4,Laki-Laki,1145,
2018,DKI Jakarta,JAKARTA PUSAT,KEMAYORAN,SERDANG,0-4,Laki-Laki,1398,
2018,DKI Jakarta,JAKARTA PUSAT,KEMAYORAN,GUNUNG SAHARI SELATAN,0-4,Laki-Laki,825,
2018,DKI Jakarta,JAKARTA PUSAT,KEMAYORAN,CEMPAKA BARU,0-4,Laki-Laki,1589,
2018,DKI Jakarta,JAKARTA PUSAT,KEMAYORAN,SUMUR BATU,0-4,Laki-Laki,1098,
2018,DKI Jakarta,JAKARTA PUSAT,KEMAYORAN,UTAN PANJANG,0-4,Laki-Laki,1533,
2018,DKI Jakarta,JAKARTA PUSAT,S E N E N,SENEN,0-4,Laki-Laki,282,
2018,DKI Jakarta,JAKARTA PUSAT,S E N E N,KENARI,0-4,Laki-Laki,373,
2018,DKI Jakarta,JAKARTA PUSAT,S E N E N,PASEBAN,0-4,Laki-Laki,1125,
2018,DKI Jakarta,JAKARTA PUSAT,S E N E N,KRAMAT,0-4,Laki-Laki,1298,
2018,DKI Jakarta,JAKARTA PUSAT,S E N E N,KWITANG,0-4,Laki-Laki,739,
2018,DKI Jakarta,JAKARTA PUSAT,S E N E N,BUNGUR,0-4,Laki-Laki,887,
2018,DKI Jakarta,JAKARTA PUSAT,CEMPAKA PUTIH,CEMPAKA PUTIH TIMUR,0-4,Laki-Laki,953,
2018,DKI Jakarta,JAKARTA PUSAT,CEMPAKA PUTIH,CEMPAKA PUTIH BARAT,0-4,Laki-Laki,1648,
2018,DKI Jakarta,JAKARTA PUSAT,CEMPAKA PUTIH,RAWASARI,0-4,Laki-Laki,967,
2018,DKI Jakarta,JAKARTA PUSAT,MENTENG,MENTENG,0-4,Laki-Laki,104,
2018,DKI Jakarta,JAKARTA PUSAT,MENTENG,PEGANGSAAN,0-4,Laki-Laki,1079,
2018,DKI Jakarta,JAKARTA PUSAT,MENTENG,CIKINI,0-4,Laki-Laki,370,
2018,DKI Jakarta,JAKARTA PUSAT,MENTENG,GONDANGDIA,0-4,Laki-Laki,141,
2018,DKI Jakarta,JAKARTA PUSAT,MENTENG,KEBON SIRIH,0-4,Laki-Laki,555,
2018,DKI Jakarta,JAKARTA PUSAT,TANAH ABANG,GELORA,0-4,Laki-Laki,121,
2018,DKI Jakarta,JAKARTA PUSAT,TANAH ABANG,BENDUNGAN HILIR,0-4,Laki-Laki,874,
2018,DKI Jakarta,JAKARTA PUSAT,TANAH ABANG,KARET TENGSIN,0-4,Laki-Laki,954,
2018,DKI Jakarta,JAKARTA PUSAT,TANAH ABANG,PETAMBURAN,0-4,Laki-Laki,1736,
2018,DKI Jakarta,JAKARTA PUSAT,TANAH ABANG,KEBON MELATI,0-4,Laki-Laki,162,
2018,DKI Jakarta,JAKARTA PUSAT,TANAH ABANG,KEBON KACANG,0-4,Laki-Laki,1013,
2018,DKI Jakarta,JAKARTA PUSAT,TANAH ABANG,KAMPUNG BALI,0-4,Laki-Laki,502,
2018,DKI Jakarta,JAKARTA PUSAT,JOHAR BARU,JOHAR BARU,0-4,Laki-Laki,1674,
2018,DKI Jakarta,JAKARTA PUSAT,JOHAR BARU,KAMPUNG RAWA,0-4,Laki-Laki,1074,
2018,DKI Jakarta,JAKARTA PUSAT,JOHAR BARU,GALUR,0-4,Laki-Laki,917,
2018,DKI Jakarta,JAKARTA PUSAT,JOHAR BARU,TANAH TINGGI,0-4,Laki-Laki,1856,
2018,DKI Jakarta,JAKARTA UTARA,PENJARINGAN,PENJARINGAN,0-4,Laki-Laki,4589,
2018,DKI Jakarta,JAKARTA UTARA,PENJARINGAN,KAMAL MUARA,0-4,Laki-Laki,648,
2018,DKI Jakarta,JAKARTA UTARA,PENJARINGAN,KAPUK MUARA,0-4,Laki-Laki,1641,
2018,DKI Jakarta,JAKARTA UTARA,PENJARINGAN,PEJAGALAN,0-4,Laki-Laki,3218,
2018,DKI Jakarta,JAKARTA UTARA,PENJARINGAN,PLUIT,0-4,Laki-Laki,1928,
2018,DKI Jakarta,JAKARTA UTARA,TANJUNG PRIOK,TANJUNG PRIOK,0-4,Laki-Laki,1772,
2018,DKI Jakarta,JAKARTA UTARA,TANJUNG PRIOK,SUNTER JAYA,0-4,Laki-Laki,3125,
2018,DKI Jakarta,JAKARTA UTARA,TANJUNG PRIOK,PAPANGGO,0-4,Laki-Laki,2071,
2018,DKI Jakarta,JAKARTA UTARA,TANJUNG PRIOK,SUNGAI BAMBU,0-4,Laki-Laki,1597,
2018,DKI Jakarta,JAKARTA UTARA,TANJUNG PRIOK,KEBON BAWANG,0-4,Laki-Laki,2767,
2018,DKI Jakarta,JAKARTA UTARA,TANJUNG PRIOK,SUNTER AGUNG,0-4,Laki-Laki,3066,
2018,DKI Jakarta,JAKARTA UTARA,TANJUNG PRIOK,WARAKAS,0-4,Laki-Laki,2476,
2018,DKI Jakarta,JAKARTA UTARA,KOJA,KOJA,0-4,Laki-Laki,1604,
2018,DKI Jakarta,JAKARTA UTARA,KOJA,TUGU UTARA,0-4,Laki-Laki,4081,
2018,DKI Jakarta,JAKARTA UTARA,KOJA,LAGOA,0-4,Laki-Laki,3443,
2018,DKI Jakarta,JAKARTA UTARA,KOJA,RAWA BADAK UTARA,0-4,Laki-Laki,1893,
2018,DKI Jakarta,JAKARTA UTARA,KOJA,TUGU SELATAN,0-4,Laki-Laki,2335,
2018,DKI Jakarta,JAKARTA UTARA,KOJA,RAWA BADAK SELATAN,0-4,Laki-Laki,2457,
2018,DKI Jakarta,JAKARTA UTARA,CILINCING,CILINCING,0-4,Laki-Laki,2628,
2018,DKI Jakarta,JAKARTA UTARA,CILINCING,SUKAPURA,0-4,Laki-Laki,3179,
2018,DKI Jakarta,JAKARTA UTARA,CILINCING,MARUNDA,0-4,Laki-Laki,1754,
2018,DKI Jakarta,JAKARTA UTARA,CILINCING,KALIBARU,0-4,Laki-Laki,4265,
2018,DKI Jakarta,JAKARTA UTARA,CILINCING,SEMPER TIMUR,0-4,Laki-Laki,2017,
2018,DKI Jakarta,JAKARTA UTARA,CILINCING,ROROTAN,0-4,Laki-Laki,236,
2018,DKI Jakarta,JAKARTA UTARA,CILINCING,SEMPER BARAT,0-4,Laki-Laki,3888,
2018,DKI Jakarta,JAKARTA UTARA,PADEMANGAN,PADEMANGAN TIMUR,0-4,Laki-Laki,1616,
2018,DKI Jakarta,JAKARTA UTARA,PADEMANGAN,PADEMANGAN BARAT,0-4,Laki-Laki,3804,
2018,DKI Jakarta,JAKARTA UTARA,PADEMANGAN,ANCOL,0-4,Laki-Laki,1139,
2018,DKI Jakarta,JAKARTA UTARA,KELAPA GADING,KELAPA GADING TIMUR,0-4,Laki-Laki,1329,
2018,DKI Jakarta,JAKARTA UTARA,KELAPA GADING,PEGANGSAAN DUA,0-4,Laki-Laki,2148,
2018,DKI Jakarta,JAKARTA UTARA,KELAPA GADING,KELAPA GADING BARAT,0-4,Laki-Laki,1406,
2018,DKI Jakarta,JAKARTA BARAT,CENGKARENG,CENGKARENG BARAT,0-4,Laki-Laki,3076,
2018,DKI Jakarta,JAKARTA BARAT,CENGKARENG,DURI KOSAMBI,0-4,Laki-Laki,396,
2018,DKI Jakarta,JAKARTA BARAT,CENGKARENG,RAWA BUAYA,0-4,Laki-Laki,3252,
2018,DKI Jakarta,JAKARTA BARAT,CENGKARENG,KEDAUNG KALI ANGKE,0-4,Laki-Laki,1696,
2018,DKI Jakarta,JAKARTA BARAT,CENGKARENG,KAPUK,0-4,Laki-Laki,729,
2018,DKI Jakarta,JAKARTA BARAT,CENGKARENG,CENGKARENG TIMUR,0-4,Laki-Laki,4323,
2018,DKI Jakarta,JAKARTA BARAT,GROGOL PETAMBURAN,GROGOL,0-4,Laki-Laki,653,
2018,DKI Jakarta,JAKARTA BARAT,GROGOL PETAMBURAN,TANJUNG DUREN UTARA,0-4,Laki-Laki,707,
2018,DKI Jakarta,JAKARTA BARAT,GROGOL PETAMBURAN,TOMANG,0-4,Laki-Laki,1291,
2018,DKI Jakarta,JAKARTA BARAT,GROGOL PETAMBURAN,JELAMBAR,0-4,Laki-Laki,1205,
2018,DKI Jakarta,JAKARTA BARAT,GROGOL PETAMBURAN,TANJUNG DUREN SELATAN,0-4,Laki-Laki,1059,
2018,DKI Jakarta,JAKARTA BARAT,GROGOL PETAMBURAN,JELAMBAR BARU,0-4,Laki-Laki,1647,
2018,DKI Jakarta,JAKARTA BARAT,GROGOL PETAMBURAN,WIJAYA KUSUMA,0-4,Laki-Laki,1826,
2018,DKI Jakarta,JAKARTA BARAT,TAMAN SARI,TAMAN SARI,0-4,Laki-Laki,500,
2018,DKI Jakarta,JAKARTA BARAT,TAMAN SARI,KRUKUT,0-4,Laki-Laki,905,
2018,DKI Jakarta,JAKARTA BARAT,TAMAN SARI,MAPHAR,0-4,Laki-Laki,647,
2018,DKI Jakarta,JAKARTA BARAT,TAMAN SARI,TANGKI,0-4,Laki-Laki,459,
2018,DKI Jakarta,JAKARTA BARAT,TAMAN SARI,MANGGA BESAR,0-4,Laki-Laki,303,
2018,DKI Jakarta,JAKARTA BARAT,TAMAN SARI,KEAGUNGAN,0-4,Laki-Laki,806,
2018,DKI Jakarta,JAKARTA BARAT,TAMAN SARI,GLODOK,0-4,Laki-Laki,234,
2018,DKI Jakarta,JAKARTA BARAT,TAMAN SARI,PINANGSIA,0-4,Laki-Laki,422,
2018,DKI Jakarta,JAKARTA BARAT,TAMBORA,TAMBORA,0-4,Laki-Laki,454,
2018,DKI Jakarta,JAKARTA BARAT,TAMBORA,KALI ANYAR,0-4,Laki-Laki,1203,
2018,DKI Jakarta,JAKARTA BARAT,TAMBORA,DURI UTARA,0-4,Laki-Laki,862,
2018,DKI Jakarta,JAKARTA BARAT,TAMBORA,TANAH SEREAL,0-4,Laki-Laki,114,
2018,DKI Jakarta,JAKARTA BARAT,TAMBORA,KRENDANG,0-4,Laki-Laki,1007,
2018,DKI Jakarta,JAKARTA BARAT,TAMBORA,JEMBATAN BESI,0-4,Laki-Laki,1526,
2018,DKI Jakarta,JAKARTA BARAT,TAMBORA,ANGKE,0-4,Laki-Laki,1355,
